seal_id,group_id,date_,day_of_yr,year,ET_ID,ET_X,ET_Y,site,PupClass
3687,348,06-22-2004,174,2004,3686,796635.7447,1194960.141,DB,n
3688,348,06-22-2004,174,2004,3687,796636.3098,1194960.477,DB,y
3689,349,06-22-2004,174,2004,3688,796654.2447,1194968.422,DB,n
3690,349,06-22-2004,174,2004,3689,796654.381,1194969.106,DB,y
3691,350,06-22-2004,174,2004,3690,796684.8042,1194971.215,DB,n
3692,350,06-22-2004,174,2004,3691,796685.3869,1194972.053,DB,n
3693,350,06-22-2004,174,2004,3692,796689.2869,1194970.431,DB,n
3694,351,06-22-2004,174,2004,3693,796686.2651,1194993.856,DB,n
3695,351,06-22-2004,174,2004,3694,796686.6221,1194993.666,DB,n
3696,352,06-22-2004,174,2004,3695,796642.5434,1195289.335,DB,n
3697,352,06-22-2004,174,2004,3696,796641.655,1195288.238,DB,y
3698,353,06-22-2004,174,2004,3697,796659.255,1195637.925,DB,n
3699,353,06-22-2004,174,2004,3698,796660.0752,1195637.585,DB,y
3700,354,06-22-2004,174,2004,3699,796647.392,1195678.36,DB,n
3701,355,06-22-2004,174,2004,3700,796745.4401,1196005.265,DB,n
3702,357,06-22-2004,174,2004,3701,796777.0693,1196471.34,DB,y
3703,359,06-22-2004,174,2004,3702,796727.8002,1196571.451,DB,n
3704,359,06-22-2004,174,2004,3703,796728.1769,1196571.878,DB,y
3705,360,06-22-2004,174,2004,3704,796763.2668,1196575.655,DB,n
3706,360,06-22-2004,174,2004,3705,796763.5797,1196574.182,DB,y
3707,361,06-22-2004,174,2004,3706,796761.9634,1196591.453,DB,n
3708,361,06-22-2004,174,2004,3707,796762.9202,1196592.919,DB,y
3709,362,06-22-2004,174,2004,3708,796762.126,1196596.777,DB,y
3710,363,06-22-2004,174,2004,3709,796730.2623,1196656.954,DB,n
3711,364,06-22-2004,174,2004,3710,796692.2146,1196711.245,DB,n
3712,364,06-22-2004,174,2004,3711,796691.5819,1196713.805,DB,n
3713,364,06-22-2004,174,2004,3712,796693.2934,1196711.522,DB,y
3714,365,06-22-2004,174,2004,3713,796743.5351,1196696.421,DB,y
3715,366,06-22-2004,174,2004,3714,796725.9689,1196857.398,DB,n
3716,366,06-22-2004,174,2004,3715,796726.3366,1196858.357,DB,y
3717,367,06-22-2004,174,2004,3716,796708.4157,1197074.263,DB,n
3718,373,06-22-2004,174,2004,3717,796895.0629,1198549.056,DB,n
3719,373,06-22-2004,174,2004,3718,796894.8897,1198548.638,DB,y
3720,376,06-22-2004,174,2004,3719,796928.1434,1199600.577,DB,n
3721,376,06-22-2004,174,2004,3720,796928.5862,1199601.2,DB,y
3722,392,06-22-2004,174,2004,3721,796655.7787,1189853.455,DB,n
3723,393,06-22-2004,174,2004,3722,796710.3013,1189936.237,DB,n
3724,393,06-22-2004,174,2004,3723,796711.3957,1189936.67,DB,y
3725,393,06-22-2004,174,2004,3724,796712.5959,1189936.006,DB,n
